Variable, Default, Description
KFFFNC, 0, "| Choice of basis function for FF'.
| 0 = standardpolynomial representation FF'(psi)=gamma0+gamma1 psi+...+gamman psi^n.
| 1 = polynomial representation...
| 2 = polynomial representation...
| 3 = spline respresentation with second constraint... 
| 4 = spline respresentation with second constraint...
| 5 = spline respresentation with second constraint...
| 6 = standard spline respresentation (no second constraint)
| 7 = unconstrained splines
| 8 = Polynomial + local representation (based on PSIECN and DPSIECN)."
KPPFNC, 0, "| Choice of basis function for P'.
| 0 = standard polynomial representation P'(psi)=alpha0+alpha1 psi+...+alphan psi^n.
| 1 = polynomial representation...
| 2 = polynomial representation...
| 3 = spline respresentation with second constraint... 
| 4 = spline respresentation with second constraint...
| 5 = spline respresentation with second constraint...
| 6 = standard spline respresentation (no second constraint)
| 7 = unconstrained splines"
KWWFNC, 0, "| Choice of basis function for POmega'.
| 0 = standard polynomial representation.
| 1 = polynomial representation...
| 2 = polynomial representation...
| 3 = spline respresentation with second constraint... 
| 4 = spline respresentation with second constraint...
| 5 = spline respresentation with second constraint...
| 6 = standard spline respresentation (no second constraint)
| 7 = unconstrained splines"
KEEFNC, 0, "| Choice of basis function for Er.
| 0 = standard polynomial representation.
| 1 = polynomial representation...
| 2 = polynomial representation...
| 3 = spline respresentation with second constraint... 
| 4 = spline respresentation with second constraint...
| 5 = spline respresentation with second constraint...
| 6 = standard spline respresentation (no second constraint)
| 7 = unconstrained splines"
ICPROF, 0,"| Specific choice of current profile
| 0 = current profile is not specified by this variable (default)
| 1 = no edge current density allowed
| 2 = free edge current density
| 3 = weak edge current density constraint
| This sets some or all of the variables KFFCUR, KPPCUR, FCURBD, PCURBD, FWTBP, FWTQA, QVFIT, KCALPA, CALPA, XALPA, KCGAMA, CGAMA, and XGAMA to predefined values.
| NOTE that if these variables are seperately specified in the namelist input, the values set by the ICPROF variable will override them."
KPPCUR, 3, "Number of coefficients in polynomial representation of P'.  The poynomial order is KPPCUR+PCURBD.  Ignored when using spline representation."
KFFCUR, 1, "Number of coefficients in polynomial representation of FF'.  The poynomial order is KFFCUR+FCURBD.  Ignored when using spline representation."
KWWCUR, 1, "Number of coefficients in polynomial representation of POmega'.  The poynomial order is KWWCUR+WCURBD.  Ignored when using spline representation."
KEECUR, 1, "Number of coefficients in polynomial representation of Er.  The poynomial order is KEECUR+ECURBD.  Ignored when using spline representation."
PCURBD,1.0,"| P' Boundary Constraint.
| 1.0 = force P'=0 at boundary (default).
| 0.0 = allow finite P' at boundary.
| For polynomial representations, P'=0 is forced analytically by adding a higher order term to the parametrization whose coefficient is the negative sum of all other coefficients. (How is this done for splines?)
| Note: even though this input is a floating point number (to support legacy inputs) it should be treated as an integer flag."
